GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tbd1,default,ExpensesLoader,53,0,2,0,12,0,3,0,2,0
tbd1,default,RevenuesLoader,53,0,2,0,12,0,3,0,2,0
tbd1,default,Ministrypercentage,82,0,4,0,11,0,4,0,2,0
tbd1,default,Revenues,13,0,0,0,5,0,4,0,4,0
tbd1,default,DatabaseConfig.ChangeLog,18,0,0,0,6,0,1,0,1,0
tbd1,default,Expenses,17,0,0,0,7,0,5,0,5,0
tbd1,default,BudgetManager,197,0,14,0,48,0,14,0,7,0
tbd1,default,PrimeMinisterApp,117,0,11,0,43,0,12,0,5,0
tbd1,default,MainMenu,31,0,0,0,11,0,2,0,2,0
tbd1,default,MenuForMinistries,139,0,10,0,28,0,7,0,2,0
tbd1,default,DatabaseConfig.Ministry,12,0,0,0,5,0,1,0,1,0
tbd1,default,ExecuteMenu,69,0,9,0,30,0,10,0,2,0
tbd1,default,Ministries,13,0,0,0,5,0,4,0,4,0
tbd1,default,MenuGraph,196,0,0,0,35,0,9,0,9,0
tbd1,default,MinistryLoader,53,0,2,0,12,0,3,0,2,0
tbd1,default,RevenuesPrinter,63,0,2,0,10,0,3,0,2,0
tbd1,default,BudgetView,314,0,16,0,52,0,13,0,5,0
tbd1,default,DiagramMinistries,48,0,4,0,11,0,4,0,2,0
tbd1,default,MinistryPrinter,63,0,2,0,10,0,3,0,2,0
tbd1,default,ExpensesPrinter,63,0,2,0,10,0,3,0,2,0
tbd1,default,Main,119,0,12,0,33,0,8,0,2,0
tbd1,default,DatabaseConfig,425,0,4,0,117,0,10,0,7,0
